State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Lat,Long
Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Hail/Sleet,0,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Others,79,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Rainy,13,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Sunny/Clear,218,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Foggy & Misty,0,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Hail/Sleet,0,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Others,27,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Rainy,5,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Sunny/Clear,243,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Foggy & Misty,0,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Hail/Sleet,0,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Others,35,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Rainy,9,34.085652,74.805553
Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Sunny/Clear,287,34.085652,74.805553
Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Foggy & Misty,9,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Hail/Sleet,1,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Others,35,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Rainy,109,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Sunny/Clear,17,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Foggy & Misty,46,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Hail/Sleet,0,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Others,44,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Rainy,49,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Sunny/Clear,52,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Foggy & Misty,9,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Hail/Sleet,8,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Others,45,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Rainy,74,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Sunny/Clear,28,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Foggy & Misty,30,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Hail/Sleet,0,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Others,9,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Rainy,36,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Sunny/Clear,44,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Foggy & Misty,8,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Hail/Sleet,4,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Others,39,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Rainy,91,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Sunny/Clear,45,23.801988,86.443244
Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Foggy & Misty,18,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Hail/Sleet,0,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Others,20,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Rainy,43,22.802776,86.185448
Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Sunny/Clear,71,22.802776,86.185448
Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Foggy & Misty,73,12.977063,77.587106
